"response","weight.method","n.ipd1","n.ipd2","ess.ipd1","ess.ipd2","var.method","wt.y1","wt.y2","wt.diff","se1","se2","se.diff","ci.lower","ci.upper","conf.level","ess1","ess2","status"
"Y (continuous)","exmWt.2ipd (symmetric QP)",300,300,270.674599248287,287.362922163563,"paper",0.85572637586275,1.09662850411341,-0.240902128250662,0.0654179556249195,0.063325392954357,0.0910473190762235,-0.419351594528987,-0.0624526619723378,0.95,270.674599248287,287.362922163563,"OK"
"Y (continuous)","exmWt.2ipd (symmetric QP)",300,300,270.674599248287,287.362922163563,"weighted_ess",0.85572637586275,1.09662850411341,-0.240902128250662,0.0651580400880008,0.0636155372732629,0.091063202066891,-0.419382724618662,-0.0624215318826628,0.95,270.674599248287,287.362922163563,"OK"
"Y (continuous)","exmWt.2ipd (symmetric QP)",300,300,270.674599248287,287.362922163563,"sq_residual",0.85572637586275,1.09662850411341,-0.240902128250662,0.0649900441248669,0.0643327078082908,0.0914461761327343,-0.420133339994728,-0.0616709165065971,0.95,270.674599248287,287.362922163563,"OK"
"Y.bin (binary)","exmWt.2ipd (symmetric QP)",300,300,270.674599248287,287.362922163563,"paper",0.448760535999507,0.555528255899865,-0.106767719900359,0.0301714790551535,0.0292822865409657,0.0420448623905798,-0.189174135920838,-0.0243613038798799,0.95,270.674599248287,287.362922163563,"OK"
"Y.bin (binary)","exmWt.2ipd (symmetric QP)",300,300,270.674599248287,287.362922163563,"weighted_ess",0.448760535999507,0.555528255899865,-0.106767719900359,0.0302310846040963,0.0293129677157835,0.0421090079750947,-0.189299858956254,-0.0242355808444633,0.95,270.674599248287,287.362922163563,"OK"
"Y.bin (binary)","exmWt.2ipd (symmetric QP)",300,300,270.674599248287,287.362922163563,"sq_residual",0.448760535999507,0.555528255899865,-0.106767719900359,0.0302743211745486,0.029378543921518,0.0421857009604948,-0.189450174445505,-0.0240852653552124,0.95,270.674599248287,287.362922163563,"OK"
