"dataset","status","min.w1","max.w1","n.neg.w1","n.zero.w1","min.w2","max.w2","n.neg.w2","n.zero.w2","ess.w1","ess.w2"
"high_overlap_shift_0.2","OK",0.736774060130927,1.21153535420717,0,0,0.720158878428431,1.33380288120702,0,0,296.339055237914,296.665988646248
"moderate_overlap_shift_0.6","OK",0.336734390889968,1.41229865599322,0,0,0.621082303835617,1.67034656011426,0,0,281.796404401015,290.725785892313
"low_overlap_shift_1.2","OK",-2.58370989886085e-19,1.54237748151455,1,1,0.743425395327453,2.1825489940439,0,0,243.044979698887,290.501401397269
