scenario;weight.method;response;n.ipd;n.ad;ad.y1;ad.y2;ad.r.mean;ad.r.sd;wm.y1.ipd;wm.y2.ipd;var.method;wt.y1;wt.y2;wt.diff;se1;se2;se.diff;ci.lower;ci.upper;conf.level;ess1;ess2;status
scenario_1;maicWt;r.cont;42;50;3.770949721;5.406162465;0.7;0.5;3.77096137;5.406160293;paper;0.981193795;0.7;0.281193795;0.075865422;0.070710678;0.103709027;0.077927837;0.484459753;0.95;37.4643501;50;OK
scenario_1;maicWt;r.cont;42;50;3.770949721;5.406162465;0.7;0.5;3.77096137;5.406160293;weighted_ess;0.981193795;0.7;0.281193795;0.077548603;0.070710678;0.104946586;0.075502267;0.486885324;0.95;37.4643501;50;OK
scenario_1;maicWt;r.cont;42;50;3.770949721;5.406162465;0.7;0.5;3.77096137;5.406160293;sq_residual;0.981193795;0.7;0.281193795;0.079124038;0.070710678;0.106116038;0.073210183;0.489177407;0.95;37.4643501;50;OK
scenario_2;maicWt;r.cont;42;50;7.625698324;2.464985994;0.7;0.5;7.625698541;2.464985802;paper;1.067750197;0.7;0.367750197;0.126490453;0.070710678;0.144913197;0.08372555;0.651774845;0.95;13.47691433;50;OK
scenario_2;maicWt;r.cont;42;50;7.625698324;2.464985994;0.7;0.5;7.625698541;2.464985802;weighted_ess;1.067750197;0.7;0.367750197;0.098419026;0.070710678;0.121187065;0.130227915;0.605272479;0.95;13.47691433;50;OK
scenario_2;maicWt;r.cont;42;50;7.625698324;2.464985994;0.7;0.5;7.625698541;2.464985802;sq_residual;1.067750197;0.7;0.367750197;0.073274094;0.070710678;0.101828743;0.168169529;0.567330865;0.95;13.47691433;50;OK
scenario_3;maicWt;r.cont;42;50;6.536312849;7.675070028;0.7;0.5;NA;NA;paper;NA;NA;NA;NA;NA;NA;NA;NA;0.95;NA;NA;WEIGHTS_FAILED
scenario_3;maicWt;r.cont;42;50;6.536312849;7.675070028;0.7;0.5;NA;NA;weighted_ess;NA;NA;NA;NA;NA;NA;NA;NA;0.95;NA;NA;WEIGHTS_FAILED
scenario_3;maicWt;r.cont;42;50;6.536312849;7.675070028;0.7;0.5;NA;NA;sq_residual;NA;NA;NA;NA;NA;NA;NA;NA;0.95;NA;NA;WEIGHTS_FAILED
