"scenario","weight.method","response","n.ipd","n.ad","ad.y1","ad.y2","ad.r.mean","ad.r.sd","wm.y1.ipd","wm.y2.ipd","var.method","wt.y1","wt.y2","wt.diff","se1","se2","se.diff","ci.lower","ci.upper","conf.level","ess1","ess2","status"
"scenario_1","maicWt","r.cont",42,50,3.77094972067039,5.40616246498599,0.7,0.5,3.77096136964782,5.4061602925743,"paper",0.981193795234929,0.7,0.281193795234929,0.0758654224940748,0.0707106781186548,0.103709027235841,0.0779278369809966,0.484459753488861,0.95,37.4643500997762,50,"OK"
"scenario_1","maicWt","r.cont",42,50,3.77094972067039,5.40616246498599,0.7,0.5,3.77096136964782,5.4061602925743,"weighted_ess",0.981193795234929,0.7,0.281193795234929,0.0775486033852691,0.0707106781186548,0.104946585875891,0.0755022666177427,0.486885323852115,0.95,37.4643500997762,50,"OK"
"scenario_1","maicWt","r.cont",42,50,3.77094972067039,5.40616246498599,0.7,0.5,3.77096136964782,5.4061602925743,"sq_residual",0.981193795234929,0.7,0.281193795234929,0.0791240384484383,0.0707106781186548,0.106116037715276,0.0732101831308934,0.489177407338965,0.95,37.4643500997762,50,"OK"
"scenario_2","maicWt","r.cont",42,50,7.62569832402234,2.46498599439776,0.7,0.5,7.62569854107766,2.4649858024776,"paper",1.06775019713523,0.7,0.367750197135234,0.126490453190732,0.0707106781186548,0.144913197288572,0.0837255495650849,0.651774844705383,0.95,13.4769143275978,50,"OK"
"scenario_2","maicWt","r.cont",42,50,7.62569832402234,2.46498599439776,0.7,0.5,7.62569854107766,2.4649858024776,"weighted_ess",1.06775019713523,0.7,0.367750197135234,0.0984190258043107,0.0707106781186548,0.12118706465737,0.130227915014662,0.605272479255806,0.95,13.4769143275978,50,"OK"
"scenario_2","maicWt","r.cont",42,50,7.62569832402234,2.46498599439776,0.7,0.5,7.62569854107766,2.4649858024776,"sq_residual",1.06775019713523,0.7,0.367750197135234,0.0732740938466541,0.0707106781186548,0.101828742646898,0.168169528956315,0.567330865314153,0.95,13.4769143275978,50,"OK"
"scenario_3","maicWt","r.cont",42,50,6.53631284916201,7.6750700280112,0.7,0.5,NA,NA,"paper",NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,"WEIGHTS_FAILED"
"scenario_3","maicWt","r.cont",42,50,6.53631284916201,7.6750700280112,0.7,0.5,NA,NA,"weighted_ess",NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,"WEIGHTS_FAILED"
"scenario_3","maicWt","r.cont",42,50,6.53631284916201,7.6750700280112,0.7,0.5,NA,NA,"sq_residual",NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,"WEIGHTS_FAILED"
